Date,Mkt-RF,SMB,HML,RF
199308,3.7,0.28,-0.36,0.25
199309,-0.2,3.11,-0.41,0.26
199310,1.59,1.45,-1.62,0.22
199311,-2.01,-1.51,-0.4,0.25
199312,1.72,1.25,0.6,0.23
199401,2.9,0.09,2.1,0.25
199402,-2.63,2.71,-1.39,0.21
199403,-4.85,-0.89,1.3,0.27
199404,0.68,-0.85,1.68,0.27
199405,0.62,-2.02,0.12,0.32
199406,-3.1,-0.46,1.75,0.31
199407,2.78,-1.79,0.95,0.28
199408,3.89,1.43,-3.5,0.37
199409,-2.21,2.71,-1.78,0.37
199410,1.07,-2.18,-2.35,0.38
199411,-4.09,-0.17,-0.06,0.37
199412,0.82,0.03,0.21,0.44
199501,1.62,-2.94,1.73,0.42
199502,3.56,-0.31,0.38,0.4
199503,2.24,-0.31,-2.05,0.46
199504,2.06,-0.37,1.75,0.44
199505,2.86,-2.2,1.94,0.54
199506,2.65,3.06,-2.97,0.47
199507,3.63,2.17,-2.21,0.45
199508,0.46,1.83,1.85,0.47
199509,3.21,-2.01,-0.92,0.43
199510,-1.6,-3.96,-0.07,0.47
199511,3.85,-0.86,0.37,0.42
199512,1.03,0.42,1.33,0.49
199601,2.38,-2.46,0.33,0.43
199602,1.24,2.06,-2.18,0.39
199603,0.7,1.29,1.28,0.39
199604,2.09,4.89,-3.96,0.46
199605,2.26,3.23,-1.36,0.42
199606,-1.23,-3.66,1.95,0.4
199607,-5.83,-3.57,4.39,0.45
199608,2.84,2.31,-0.59,0.41
199609,4.86,-0.79,-3.8,0.44
199610,0.94,-4.1,4.86,0.42
199611,6.14,-3.54,0.21,0.41
199612,-1.6,3.13,0.94,0.46
199701,4.89,-1.49,-2.32,0.45
199702,-0.5,-2.53,4.76,0.39
199703,-4.91,-0.33,3.89,0.43
199704,3.8,-5.14,-1.02,0.43
199705,6.67,4.8,-4.37,0.49
199706,4.04,1.52,0.7,0.37
199707,7.22,-2.44,-0.42,0.43
199708,-4.04,7.48,1.03,0.41
199709,5.4,2.68,-0.28,0.44
199710,-3.87,-0.86,2.33,0.42
199711,2.66,-4.99,1.01,0.39
199712,1.3,-2.33,3.82,0.48
199801,0.02,-1.01,-1.8,0.43
199802,6.93,0.24,-0.72,0.39
199803,4.74,-1.18,1.63,0.39
199804,0.66,0.43,0.33,0.43
199805,-2.98,-3.57,4.34,0.4
199806,2.79,-3.21,-1.85,0.41
199807,-2.73,-4.92,-1.15,0.4
199808,-16.2,-5.71,5.15,0.43
199809,5.92,-0.17,-3.89,0.46
199810,7.12,-3.21,-2.67,0.32
199811,5.89,1.18,-3.29,0.31
199812,5.93,-0.35,-4.88,0.38
199901,3.48,0.68,-5.45,0.35
199902,-4.16,-5.75,1.75,0.35
199903,3.36,-3.88,-2.89,0.43
199904,4.53,3.31,2.43,0.37
199905,-2.41,3.7,2.64,0.34
199906,4.7,3.34,-4.22,0.4
199907,-3.44,2.16,0.61,0.38
199908,-1.39,-1.26,-0.92,0.39
199909,-2.68,3.3,-3.12,0.39
199910,5.81,-6.72,-3.32,0.39
199911,3.33,7.67,-7.95,0.36
199912,7.95,6.79,-8.98,0.44
200001,-4.39,4.45,0.2,0.41
200002,2.75,21.96,-12.4,0.43
200003,4.89,-16.79,8.12,0.47
200004,-6.41,-7.5,9.05,0.46
200005,-4.4,-4.91,3.93,0.5
200006,4.76,13.77,-9.86,0.4
200007,-2.19,-2.76,8.41,0.48
200008,7.08,-0.97,-1.4,0.5
200009,-5.62,-1.8,6.94,0.51
200010,-3.02,-3.65,5,0.56
200011,-10.76,-3.16,12.45,0.51
200012,1.53,1.51,6.27,0.5
200101,3.41,6.98,-5.73,0.54
200102,-10.32,-1.11,13.85,0.39
200103,-7.47,0.63,6.36,0.44
200104,8,0.25,-4.62,0.39
200105,0.74,2.95,2.78,0.32
200106,-2.03,6.49,-2.08,0.28
200107,-2.13,-4.18,5.47,0.3
200108,-6.22,2.13,3.36,0.31
200109,-9.43,-6.49,1.61,0.28
200110,2.58,6.84,-7.04,0.22
200111,7.7,0.4,0.87,0.17
200112,1.63,5.08,0.38,0.15
200201,-1.75,1.11,3.53,0.14
200202,-2.3,-1.69,3.94,0.13
200203,4.34,4.35,1.09,0.13
200204,-5.11,5.78,4.23,0.15
200205,-1.19,-3.69,2.37,0.14
200206,-7.15,3.5,1.55,0.13
200207,-8.26,-5.11,-3.7,0.15
200208,0.66,-2.17,2.15,0.14
200209,-10.14,2.73,1.13,0.14
200210,7.36,-2.99,-6.57,0.14
200211,6.01,3.16,-1.52,0.12
200212,-5.44,-0.54,3.85,0.11
200301,-2.44,1.37,-0.84,0.1
200302,-1.63,-0.35,-1.54,0.09
200303,0.93,0.88,-1.71,0.1
200304,8.18,1.21,-0.08,0.1
200305,6.26,4.71,0.27,0.09
200306,1.53,1.47,0.64,0.1
200307,2.24,5.64,-2.11,0.07
200308,2.42,2.64,1.78,0.07
200309,-0.99,0.56,0.99,0.08
200310,5.96,2.91,1.75,0.07
200311,1.59,2.22,1.39,0.07
200312,4.47,-2.87,2.76,0.08
200401,2.24,2.6,1.66,0.07
200402,1.49,-1.2,0.37,0.06
200403,-1.16,1.85,-0.01,0.09
200404,-2.5,-2.53,-1.69,0.08
200405,1.35,-0.12,-0.31,0.06
200406,2.08,2.25,1.72,0.08
200407,-3.87,-3.82,4.42,0.1
200408,0.16,-1.56,1.13,0.11
200409,1.95,2.82,0.4,0.11
200410,1.67,0.49,-0.95,0.11
200411,4.67,4.11,1.96,0.15
200412,3.36,0.18,-0.35,0.16
200501,-2.82,-1.67,2.52,0.16
200502,2.11,-0.76,2.85,0.16
200503,-1.9,-1.37,1.71,0.21
200504,-2.73,-3.95,-0.49,0.21
200505,3.55,3.01,-1.16,0.24
200506,0.92,2.58,2.84,0.23
200507,4.09,2.77,-0.47,0.24
200508,-0.89,-0.88,1.44,0.3
200509,0.77,-0.65,1.23,0.29
200510,-2.35,-1.05,-0.74,0.27
200511,3.73,0.99,-1.75,0.31
200512,0.03,-0.47,0.51,0.32
200601,3.66,5.33,1.18,0.35
200602,-0.5,-0.31,-0.76,0.34
200603,1.54,3.51,0.04,0.37
200604,0.94,-1.22,3.07,0.36
200605,-3.53,-3,2.75,0.43
200606,-0.44,-0.47,1.51,0.4
200607,-0.59,-3.9,3.25,0.4
200608,2.09,0.8,-1.66,0.42
200609,1.54,-1.21,-0.49,0.41
200610,3.3,1.68,0.49,0.41
200611,1.95,0.7,0.39,0.42
200612,0.68,-0.93,2.56,0.4
200701,1.5,0.02,0,0.44
200702,-1.78,1.38,0.32,0.38
200703,0.86,-0.2,0.31,0.43
200704,3.55,-2.06,-1.08,0.44
200705,3.48,-0.05,-0.23,0.41
200706,-1.88,0.69,-1.07,0.4
200707,-3.58,-2.74,-3.01,0.4
200708,0.74,-0.09,-2.42,0.42
200709,3.77,-2.47,-2.1,0.32
200710,2.26,0.07,-1.97,0.32
200711,-5.27,-2.72,-0.88,0.34
200712,-0.7,0.06,-0.02,0.27
200801,-6.44,-0.76,3.13,0.21
200802,-2.33,-0.67,0.04,0.13
200803,-1.22,0.87,0.26,0.17
200804,4.94,-1.6,0.08,0.17
200805,2.21,2.8,-0.3,0.17
200806,-8.03,0.91,-0.93,0.17
